event_date,move_bps,direction,phase,sector,ticker,sector_return,benchmark_return,alpha,max_drawdown
2022-03-17,25.0,Hike,Pre-45D,Utilities,XLU,0.030294203193087288,-0.061053823782013295,0.09134802697510058,-0.06940478967461916
2022-03-17,25.0,Hike,Post-45D,Utilities,XLU,0.01119236059136286,-0.11388119556808984,0.1250735561594527,-0.0835500069779106
2022-05-05,50.0,Hike,Pre-45D,Communication Services,XLC,-0.10849200409863702,-0.05205520196296898,-0.05643680213566804,-0.17443819100331892
2022-05-05,50.0,Hike,Post-45D,Communication Services,XLC,-0.09117418205958072,-0.07572292658535085,-0.015451255474229875,-0.1289793866060851
2022-05-05,50.0,Hike,Pre-45D,Consumer Discretionary,XLY,-0.10080134649977901,-0.05205520196296898,-0.04874614453681003,-0.163681954243583
2022-05-05,50.0,Hike,Post-45D,Consumer Discretionary,XLY,-0.11457587931452085,-0.07572292658535085,-0.03885295272917,-0.15950788288377138
2022-05-05,50.0,Hike,Pre-45D,Consumer Staples,XLP,0.023091616126194703,-0.05205520196296898,0.07514681808916368,-0.05838906259209786
2022-05-05,50.0,Hike,Post-45D,Consumer Staples,XLP,-0.04573214633515288,-0.07572292658535085,0.029990780250197968,-0.10957319048135605
2022-05-05,50.0,Hike,Pre-45D,Energy,XLE,0.11478599493711927,-0.05205520196296898,0.16684119690008825,-0.09059497378520731
2022-05-05,50.0,Hike,Post-45D,Energy,XLE,-0.13471614494610173,-0.07572292658535085,-0.05899321836075089,-0.24925984631287312
2022-05-05,50.0,Hike,Pre-45D,Financials,XLF,-0.07706525279881982,-0.05205520196296898,-0.02501005083585084,-0.1267712034989189
2022-05-05,50.0,Hike,Post-45D,Financials,XLF,-0.09149607452117958,-0.07572292658535085,-0.015773147935828735,-0.13297733862752514
2022-05-05,50.0,Hike,Pre-45D,Health Care,XLV,-0.0045269701666103,-0.05205520196296898,0.04752823179635868,-0.0934677710408135
2022-05-05,50.0,Hike,Post-45D,Health Care,XLV,-0.006885917512617357,-0.07572292658535085,0.06883700907273349,-0.10543200924622154
2022-05-05,50.0,Hike,Pre-45D,Industrials,XLI,-0.03990100941043184,-0.05205520196296898,0.012154192552537135,-0.09139515080685934
2022-05-05,50.0,Hike,Post-45D,Industrials,XLI,-0.09085779434110852,-0.07572292658535085,-0.015134867755757675,-0.12011503917692823
2022-05-05,50.0,Hike,Pre-45D,Materials,XLB,0.03402957577326382,-0.05205520196296898,0.0860847777362328,-0.07034780030035115
2022-05-05,50.0,Hike,Post-45D,Materials,XLB,-0.14665286231121222,-0.07572292658535085,-0.07092993572586137,-0.17007793478277222
2022-05-05,50.0,Hike,Pre-45D,Real Estate,XLRE,-0.00503640818174933,-0.05205520196296898,0.04701879378121965,-0.10494057517195499
2022-05-05,50.0,Hike,Post-45D,Real Estate,XLRE,-0.08810496090584197,-0.07572292658535085,-0.01238203432049112,-0.14219508220958432
2022-05-05,50.0,Hike,Pre-45D,Technology,XLK,-0.07965883567843268,-0.05205520196296898,-0.027603633715463705,-0.1448320548609462
